tiempo,simbolo,probabilidad,informacion,cantidad de paquetes,entropia
07:07:48,192.168.1.1,0.9795361527967258,0.018820227164483824,733,0.10019825517439626
07:09:19,192.168.1.124,0.0163265306122449,3.7456015118978567,735,0.09997674790006428
07:09:19,0.0.0.0,0.004081632653061225,5.007461019040771,735,0.09997674790006428
07:09:19,192.168.1.1,0.9795918367346939,0.01876848403701479,735,0.09997674790006428
07:10:51,192.168.1.124,0.016194331983805668,3.7530018715762528,741,0.09931856780164901
07:10:51,0.0.0.0,0.004048582995951417,5.014861378719168,741,0.09931856780164901
07:10:51,192.168.1.1,0.979757085020243,0.01861494785943441,741,0.09931856780164901
07:12:15,192.168.1.124,0.016150740242261104,3.755455348066071,743,0.09910126240752365
07:12:15,0.0.0.0,0.004037685060565276,5.017314855208985,743,0.09910126240752365
07:12:15,192.168.1.1,0.9798115746971736,0.018564325860398707,743,0.09910126240752365
07:13:39,192.168.1.124,0.01606425702811245,3.7603425502851247,747,0.09866973770302863
07:13:39,0.0.0.0,0.004016064257028112,5.022202057428038,747,0.09866973770302863
07:13:39,192.168.1.1,0.9799196787148594,0.01846390339953112,747,0.09866973770302863
07:14:55,192.168.1.124,0.01602136181575434,3.7627763464586987,749,0.09845550336611972
07:14:55,0.0.0.0,0.004005340453938585,5.024635853601613,749,0.09845550336611972
07:14:55,192.168.1.1,0.9799732977303071,0.01841409850533301,749,0.09845550336611972
07:16:03,192.168.1.124,0.015957446808510637,3.7664148825226507,752,0.0981360410353352
07:16:03,0.0.0.0,0.003989361702127659,5.028274389665565,752,0.0981360410353352
07:16:03,192.168.1.1,0.9800531914893617,0.018339892943424106,752,0.0981360410353352
07:17:11,192.168.1.124,0.015894039735099338,3.770038932007853,755,0.09781882380737807
07:17:11,0.0.0.0,0.003973509933774834,5.031898439150768,755,0.09781882380737807
07:17:11,192.168.1.1,0.9801324503311258,0.018266283071653913,755,0.09781882380737807
07:18:19,192.168.1.124,0.0158311345646438,3.7736486098116164,758,0.09750382736879133
07:18:19,0.0.0.0,0.00395778364116095,5.0355081169545315,758,0.09750382736879133
07:18:19,192.168.1.1,0.9802110817941952,0.01819326174554621,758,0.09750382736879133
07:19:26,192.168.1.124,0.01576872536136662,3.7772440294697227,761,0.09719102776157028
07:19:26,0.0.0.0,0.003942181340341655,5.039103536612638,761,0.09719102776157028
07:19:26,192.168.1.1,0.9802890932982917,0.018120821934424134,761,0.09719102776157028
07:20:31,192.168.1.124,0.015727391874180863,3.7796331101762144,763,0.09698370347898545
07:20:31,0.0.0.0,0.003931847968545216,5.04149261731913,763,0.09698370347898545
07:20:31,192.168.1.1,0.9803407601572739,0.01807284836951063,763,0.09698370347898545
07:21:37,192.168.1.124,0.015665796344647518,3.7832050149297025,766,0.09667451296213934
07:21:37,0.0.0.0,0.0039164490861618795,5.045064522072618,766,0.09667451296213934
07:21:37,192.168.1.1,0.9804177545691906,0.0180013624282616,766,0.09667451296213934
07:22:42,192.168.1.124,0.015625,3.785578521428744,768,0.09646957326609265
07:22:42,0.0.0.0,0.00390625,5.047438028571659,768,0.09646957326609265
07:22:42,192.168.1.1,0.98046875,0.0179540184933589,768,0.09646957326609265
07:23:47,192.168.1.124,0.015584415584415584,3.7879458549520297,770,0.09626557554358718
07:23:47,0.0.0.0,0.003896103896103896,5.049805362094944,770,0.09626557554358718
07:23:47,192.168.1.1,0.9805194805194806,0.017906922944176087,770,0.09626557554358718
07:25:25,192.168.1.124,0.015523932729624839,3.7914853508959596,773,0.09596133056507113
07:25:25,0.0.0.0,0.0038809831824062097,5.053344858038875,773,0.09596133056507113
07:25:25,192.168.1.1,0.9805950840879689,0.017836741084342796,773,0.09596133056507113
07:27:02,192.168.1.124,0.015483870967741935,3.7938373915499537,775,0.09575965869092361
07:27:02,0.0.0.0,0.003870967741935484,5.055696898692869,775,0.09575965869092361
07:27:02,192.168.1.1,0.9806451612903225,0.017790258014194392,775,0.09575965869092361
